id,set_id,localId,name,set_name,grade,price,sold_date,title,set_phrase_from_title,set_match_name,set_match_score
me02.5-225,me02.5,225,Scorbunny,Ascended Heroes,ACE 10,£44.04,Sold 6 Jun 2026,Scorbunny 225/217 Ascended Heroes ACE 10 GEM MINT 💎 ✅ PERFECT SUB GRADES,Ascended Heroes ACE 10,Ascended Heroes,0.811
me02-100,me02,100,Zacian,Phantasmal Flames,ACE 10,£28.06,Sold 6 Jun 2026,Zacian 100/094 Me02: Phantasmal Flames Ace 10 Gem Mint Pokemon Card English,Me02: Phantasmal Flames Ace,Phantasmal Flames,0.791
sv05-179,sv05,179,Meltan,Temporal Forces,ACE 9,£15.50,Sold 6 Jun 2026,Pokemon TCG Meltan Illustration Rare 179/162 Temporal Forces Ace 9,Temporal Forces Ace 9,Temporal Forces,0.833
me02-109,me02,109,Mega Charizard X ex,Phantasmal Flames,ACE 10,£42.00,Sold 6 Jun 2026,Pokémon | Mega Charizard X Ex | 109/094 | Phantasmal Flames | ACE 10 Perfect Sub,| Phantasmal Flames |,Phantasmal Flames,1.0
sv09-167,sv09,167,N's Reshiram,Journey Together,ACE 9,£21.50,Sold 6 Jun 2026,ACE 9 NS Reshiram 167/159 Journey Together Full Art Pokemon TCG,Journey Together Full Art,Journey Together,0.78
sv10-232,sv10,232,Cynthia's Garchomp ex,Destined Rivals,ACE 10,£299.00,Sold 6 Jun 2026,Cynthia’s Garchomp EX 232/182 Destined Rivals ACE 10 PERFECT SUBS (free guard),Destined Rivals ACE 10,Destined Rivals,0.811
me02.5-226,me02.5,226,Psyduck,Ascended Heroes,ACE 9,£78.70,Sold 6 Jun 2026,Psyduck 226/217 Me: Ascended Heroes Holo - Ace 9 - New Cert UK Seller,Me: Ascended Heroes Holo,Ascended Heroes,0.789
me02-118,me02,118,Dawn,Phantasmal Flames,ACE 10,£30.00,Sold 6 Jun 2026,Pokemon TCG Dawn 118/094 SR Phantasmal Flames Holo PERFECT ACE 10 Sub Grades,SR Phantasmal Flames Holo,Phantasmal Flames,0.81
swsh12.5-160,swsh12.5,160,Pikachu,Crown Zenith,ACE 10,£125.49,Sold 6 Jun 2026,Pikachu 160/159 Crown Zenith Pokemon TCG GEM MINT ACE 10,Crown Zenith Pokemon TCG,Crown Zenith,0.667
ex11-37,ex11,37,Ditto,Delta Species,ACE 9,£150.00,Sold 6 Jun 2026,ACE 9 MINT Ditto Charmander 37/113 EX Delta Species Rare Pokemon Card,EX Delta Species Rare,Delta Species,0.765
me03-095,me03,95,Espurr,Perfect Order,ACE 10,£32.00,Sold 6 Jun 2026,Espurr 095/088 Me03: Perfect Order Holo ACE 10 PERFECT SUBS UK SELLER,Me03: Perfect Order Holo,Perfect Order,0.722
swsh12.5-GG67,swsh12.5,GG67,Origin Forme Palkia VSTAR,Crown Zenith,ACE 10,£133.00,Sold 6 Jun 2026,Pokémon TCG Origin Forme Palkia VSTAR GG67/GG70 Ace 10 Crown Zenith,Ace 10 Crown Zenith,Crown Zenith,0.774
swsh12.5-054,swsh12.5,54,Zeraora VMAX,Crown Zenith,ACE 10,£26.70,Sold 6 Jun 2026,ACE 10 Zeraora VMAX 054/159 2023 crown zenith pokemon TCG,crown zenith pokemon TCG,Crown Zenith,0.667
me01-182,me01,182,Mega Kangaskhan ex,Mega Evolution,ACE 10,£78.70,Sold 6 Jun 2026,Mega Kangaskhan ex 182/132 2025 Pokémon Mega Evolution SIR ACE 10 Gem Mint,Pokémon Mega Evolution SIR,Mega Evolution,0.718
base4-58,base4,58,Raticate,Base Set 2,ACE 8,£312.70,Sold 6 Jun 2026,1st Edition Pikachu Shadowless 58/102 Base Set ACE 8,Base Set ACE 8,Base Set 2,0.75
